"id","version","date_created","last_updated","new_skill"
1,0,"2013-04-29 17:24:49","2013-04-29 17:24:49"," A Good Comunicator"
2,0,"2013-04-29 17:24:49","2013-04-29 17:24:49"," Arterial puncture in an adult"
3,0,"2013-04-29 17:24:49","2013-04-29 17:24:49"," Computer skills "
4,0,"2013-04-29 17:24:49","2013-04-29 17:24:49"," Excellent ability to use my own initiative."
5,0,"2013-04-29 17:25:33","2013-04-29 17:25:33"," coaching and feedback"
6,0,"2013-04-29 17:25:33","2013-04-29 17:25:33"," ContactPoint"
7,0,"2013-04-29 17:25:33","2013-04-29 17:25:33"," Effective Discharge planning"
8,0,"2013-04-29 17:34:15","2013-04-29 17:34:15"," Ability and willingness to work late nights"
9,0,"2013-04-29 17:34:15","2013-04-29 17:34:15"," Coached pupils and colleges to increase performances "
10,0,"2013-04-29 17:34:15","2013-04-29 17:34:15"," computer "
11,0,"2013-04-29 17:34:16","2013-04-29 17:34:16"," Creative communication and negotiation skills"
12,0,"2013-04-29 17:34:16","2013-04-29 17:34:16"," excellent customer service"
13,0,"2013-04-29 17:34:16","2013-04-29 17:34:16"," Excellent organizational skills and ability to motivate the people for implementing new policies in an effective way."
14,0,"2013-04-29 17:34:16","2013-04-29 17:34:16"," Excellent team player, but also has the ability to work independently."
15,0,"2013-04-29 17:34:16","2013-04-29 17:34:16"," Experience of successfully setting up, managing and promoting new projects both independently and as part of a team "
16,0,"2013-04-29 17:34:16","2013-04-29 17:34:16"," GERP (Orcale Base System) Global Enterprise Resources "
17,0,"2013-04-29 17:34:16","2013-04-29 17:34:16"," Good organisational skills"
18,0,"2013-04-29 17:34:16","2013-04-29 17:34:16"," Hardworking"
19,0,"2013-04-29 17:34:16","2013-04-29 17:34:16"," Initiative"
20,0,"2013-04-29 17:34:16","2013-04-29 17:34:16"," Performance of Rigid sigmoidoscopy"
21,0,"2013-04-29 17:34:16","2013-04-29 17:34:16"," Prepare and administer IV medication and injections and fluids"
22,0,"2013-04-29 17:34:16","2013-04-29 17:34:16"," Problem analysis and problem solving"
23,0,"2013-04-29 17:34:16","2013-04-29 17:34:16"," TWS (JSC) 8.4"
24,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","* Heidelberg 600 16pp"
25,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","* Heidelberg 8pp"
26,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","* Heidelberg printstream 12pp"
27,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","* Jet UV coater"
28,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","*Assemble and install pipe(metal-plastic)."
29,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","10 ton digger licence"
30,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","17th Edition Electrical qualification, (BS7671), City "
31,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","1997 to 2007 - sporting activities (instructor therapist)"
32,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","1st line aircraft maintenance"
33,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","2T Reach Truck Licnce"
34,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","3 fork lift licences ppt reach and counterbalance "
35,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","3D Designing"
36,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","3D Modeler"
37,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","3D Modelling"
38,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","3D modelling (abstract)"
39,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","3D modelling (realistic)"
40,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","3d modelling in maya "
41,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","3d modelling within 3ds Max"
42,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","3ds Max"
43,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","3rd Party Relationship building skills"
44,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","3rd Party Vendor manager"
45,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","5 years experience driving and operating 9000LTR and 5000LTR aircraft refuellers "
46,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","5 years experience Hand marshalling rotary winged Aircraft into position both in northern ireland and current operations "
47,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","5S housekeeping standards"
48,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","7.5T Truck Experienced"
49,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A clear business vision."
50,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A comprehensive understanding of safety procedures."
51,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A good knowledge of computer software such as Adobe Photoshop, Microsoft Office and Sage line"
52,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A great motivator to those around me"
53,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A high level of commitment, time management and motivation. I have energy and enthusiasm in pursuing goals and targets"
54,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A high level of understanding of the Alteryx platform"
55,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A High understanding of Data and Data delivery platforms"
56,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A highly proactive and goal driven person"
57,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A passion for people, the community and the financial markets."
58,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A proactive and passionate attitude towards sales."
59,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A quick learner who enjoys a challenge"
60,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A sense of responsibility"
61,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A talent for involving and motivating students of all ability levels."
62,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A very competant and focused driver."
63,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A1 Assessor"
64,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","A1 assessor and NVQ2 team leader"
65,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","ability to adapt to an organisations vision and ethos"
66,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to adapt to new situations (The flexibility to work within other departments performing different job roles)"
67,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to apply knowlege"
68,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to assess student performance and evaluate teaching programme."
69,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to build rapport with people from a range of diverse culture backgrounds"
70,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to carry out wrtten and verbal instructions"
71,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to co-ordinate, control and monitor all sub-contractors' activities on site. "
72,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to communicate effectively at all levels including presentations / training"
73,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to communicate effectively with individuals and groups"
74,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to communicate effetivelky both verbally and in writing"
75,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","ability to deal with pressure in the workplace"
76,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to delegate "
77,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to demonstrate Empathy"
78,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","ability to drive a all terain vehicle"
79,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to effectively manage staff including working in challenging circumstances"
80,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to exceed sales targets, key performance indicators, cost targets, budget targets"
81,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to follow processes and procedure accurately"
82,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to handle animals patiently,gently and confidently"
83,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","ability to handle pressure and reactquickly to situations"
84,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to handle pressure and work towards deadlines/targets"
85,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to identify customer requirements and apply product knowledge to satisfy demand"
86,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to lead projects and drive issues to closure independently"
87,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to learn new Software quickly "
88,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to listen and understand customers  expectations "
89,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to manage a team in a fast paced environment"
90,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to plan and organise"
91,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to present and persuade in an articulate fashion"
92,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to prioritise work"
93,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to research any particular area with an analytical approach. "
94,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to resolve conflict"
95,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to respond and adapt to new situations, environments"
96,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to see possibilities beyond the present"
97,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to think ahead"
98,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to train others"
99,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to understand and sell into Supply Chains"
100,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to verbally communicate in Punjabi and Hindi"
101,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","ability to work alone and as part of a team"
102,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to work in close proximity to other workers in mass accomodation"
103,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to work in war zones and hostile conditions"
104,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to work shifts, including overtime, statutory holidays "
105,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to work to tight deadlines and commits fully to every task"
106,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to work unsupervised"
107,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to work using own innitative implementing own ideas"
108,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to work well within a busy, often fast-paced environment."
109,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Ability to work with all ages."
110,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Able to accurately describe a products features and benefits to a customer."
111,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Able to communicate at all levels"
112,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Able to communicate with clients"
113,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Able to complete tasks to a high standard"
114,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Able to contribute practically to the success of a team"
115,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Able to help customers find what they want."
116,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","able to interpret numerical and written infromation"
117,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Able to interprit technical drawings"
118,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Able to lift heavy Loads"
119,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Able to maintain a good sense of perspective in difficult situations"
120,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Able to manage large turn over business"
121,0,"2013-04-29 17:34:16","2013-04-29 17:34:16","Able to manage workload effectively"
